temperature,is_rainy,is_weekend,promo,orders
13.2,0,0,0,78.0
7.9,0,1,0,97.0
32.1,0,0,1,74.0
18.7,0,1,0,84.0
11.1,1,1,0,117.0
14.2,1,0,1,114.0
22.4,1,1,0,109.0
10.3,1,0,1,125.0
30.7,0,0,0,59.0
27.8,1,1,1,141.0
26.6,1,1,1,139.0
18.0,1,0,1,106.0
23.8,1,1,1,126.0
22.5,1,1,1,134.0
24.5,1,1,1,129.0
7.5,1,0,1,114.0
17.5,1,1,1,136.0
6.2,1,0,0,91.0
19.8,0,1,0,82.0
14.9,0,1,0,89.0
9.3,1,1,0,126.0
8.1,0,1,1,129.0
22.6,0,1,1,134.0
10.1,1,0,1,122.0
32.8,1,0,0,68.0
22.4,1,1,0,105.0
15.4,0,0,0,68.0
22.7,0,1,0,88.0
5.7,1,0,0,111.0
33.8,1,1,0,88.0
19.5,0,0,0,69.0
28.5,1,0,0,76.0
7.5,0,0,0,61.0
19.6,1,0,0,89.0
19.7,1,0,0,92.0
33.1,1,0,0,63.0
22.2,1,1,0,105.0
19.2,0,1,0,74.0
13.0,0,1,0,83.0
14.9,0,1,1,130.0
20.6,1,1,0,103.0
18.2,1,1,0,100.0
5.6,1,0,1,127.0
29.8,0,1,0,74.0
31.9,0,0,1,78.0
9.2,1,0,0,98.0
21.6,1,1,0,96.0
8.3,1,0,0,85.0
25.2,0,1,0,84.0
13.4,0,1,1,131.0
24.8,1,1,1,143.0
26.8,1,1,0,96.0
28.1,0,1,1,117.0
8.2,1,0,0,86.0
32.5,0,1,1,120.0
11.9,0,0,0,60.0
6.1,1,0,0,105.0
21.6,1,0,0,75.0
16.1,1,0,1,132.0
29.9,0,1,0,83.0
29.2,1,0,0,66.0
14.5,1,1,0,108.0
33.6,1,1,0,101.0
13.7,0,1,0,101.0
20.5,1,1,1,136.0
12.7,1,0,0,89.0
33.1,1,0,1,106.0
9.9,0,1,0,97.0
6.3,1,1,0,109.0
18.1,0,1,0,82.0
34.8,0,0,0,51.0
31.8,1,0,1,111.0
27.5,0,0,0,68.0
31.7,1,0,0,78.0
31.8,0,0,0,54.0
20.6,1,1,0,112.0
14.5,1,0,1,112.0
28.2,1,1,0,98.0
24.8,0,1,1,106.0
16.2,0,1,0,80.0
7.8,0,0,0,76.0
27.4,0,0,1,87.0
12.9,1,1,0,119.0
33.1,0,0,1,85.0
12.2,0,1,0,96.0
8.7,0,1,0,102.0
29.9,0,0,1,83.0
9.6,1,1,0,120.0
10.4,1,0,0,85.0
23.0,0,0,1,92.0
31.2,1,1,0,102.0
10.9,1,1,1,140.0
14.3,0,0,0,68.0
28.3,0,1,1,105.0
34.2,0,1,0,70.0
20.0,0,1,0,78.0
9.3,0,0,1,112.0
5.4,0,0,0,84.0
11.9,1,1,0,119.0
9.0,0,1,0,113.0
25.3,1,1,0,101.0
8.7,0,0,1,126.0
20.2,0,0,1,90.0
25.8,1,1,0,104.0
22.4,1,0,0,77.0
11.0,1,0,0,93.0
29.1,0,1,0,85.0
26.5,0,1,0,80.0
27.2,0,0,1,100.0
8.9,0,0,1,104.0
8.7,1,0,0,94.0
32.8,0,1,0,68.0
16.9,0,0,0,68.0
14.0,1,1,0,111.0
19.7,0,0,0,57.0
24.9,0,1,0,76.0
33.7,0,1,1,126.0
13.6,0,1,0,91.0
32.7,1,1,1,114.0
5.7,1,1,0,114.0
21.7,1,0,1,110.0
24.0,0,1,1,118.0
8.2,1,1,0,122.0
9.2,1,1,0,122.0
17.6,0,0,0,59.0
34.0,1,1,1,127.0
22.9,0,0,0,52.0
33.0,1,1,0,90.0
29.1,1,1,0,91.0
19.0,0,0,1,83.0
28.5,0,1,0,88.0
5.5,0,1,0,106.0
8.3,1,0,0,100.0
29.9,0,0,1,83.0
28.9,1,0,1,110.0
12.0,0,1,0,80.0
20.9,0,1,1,123.0
23.2,1,1,0,106.0
31.0,1,1,1,132.0
23.1,1,1,1,137.0
17.4,0,0,0,56.0
16.2,0,0,0,53.0
17.8,0,0,0,58.0
24.6,1,0,0,82.0
31.0,1,1,0,103.0
18.6,0,0,0,52.0
12.4,1,0,0,81.0
12.1,0,0,0,63.0
27.4,1,0,0,72.0
29.5,1,0,0,63.0
8.2,1,0,0,81.0
7.0,0,1,1,122.0
22.8,1,0,0,80.0
9.4,0,0,0,62.0
29.7,1,0,0,72.0
14.3,0,1,0,101.0
9.3,1,1,1,136.0
32.6,0,1,0,74.0
10.0,0,1,1,134.0
13.5,1,1,0,110.0
9.6,1,1,0,112.0
8.5,0,0,0,82.0
5.6,1,1,0,118.0
6.7,0,0,0,83.0
10.2,0,0,0,74.0
6.6,0,1,0,96.0
22.7,0,0,0,63.0
25.4,0,0,0,60.0
16.8,0,1,1,128.0
14.5,0,0,0,63.0
20.1,0,0,1,92.0
31.3,0,1,0,76.0
30.5,1,1,0,103.0
6.3,1,0,0,86.0
10.4,0,1,1,134.0
12.1,0,1,0,98.0
12.5,1,0,0,78.0
22.1,1,0,1,120.0
17.5,1,0,1,132.0
6.5,1,0,0,102.0
16.2,1,0,0,97.0
20.7,1,0,1,112.0
8.1,0,0,1,89.0
30.0,0,0,0,38.0
6.6,0,0,0,76.0
32.7,0,0,0,46.0
8.0,1,0,0,85.0
30.3,1,0,1,102.0
32.1,1,1,1,131.0
34.4,0,0,0,37.0
29.1,0,1,1,105.0
28.4,0,1,1,122.0
24.3,1,1,0,95.0
28.4,0,1,0,86.0
9.0,0,0,0,68.0
21.1,1,1,0,110.0
20.4,1,0,0,90.0
30.7,1,0,0,78.0
18.9,0,0,0,70.0
16.6,0,0,0,56.0
24.2,0,0,0,67.0
13.0,0,0,0,61.0
9.2,1,1,0,119.0
19.3,0,1,0,90.0
17.5,0,0,1,98.0
12.0,1,1,0,117.0
16.0,0,0,1,89.0
16.0,0,0,0,55.0
14.8,0,1,1,129.0
16.4,0,1,1,122.0
25.6,0,0,0,66.0
13.9,1,0,0,87.0
33.5,1,0,0,59.0
32.5,0,0,1,88.0
19.4,0,0,1,90.0
14.9,0,1,0,94.0
21.1,1,1,1,131.0
30.5,1,0,1,116.0
24.6,1,1,0,96.0
29.1,0,0,1,81.0
21.0,0,0,1,92.0
24.0,0,0,0,50.0
13.6,0,1,0,95.0
27.0,0,1,0,94.0
11.1,1,1,0,111.0
25.8,0,0,0,60.0
30.8,1,1,1,105.0
9.0,1,0,0,92.0
23.4,1,0,0,76.0
7.9,0,1,0,91.0
26.8,1,0,0,85.0
7.5,0,1,0,96.0
33.1,0,1,1,104.0
9.1,0,1,1,124.0
33.8,0,0,1,64.0
29.0,1,0,0,65.0
22.8,1,1,1,142.0
28.5,1,1,0,82.0
28.9,0,1,1,103.0
33.4,0,1,0,72.0
12.6,1,0,0,103.0
22.7,0,0,1,96.0
7.9,1,1,1,143.0
23.5,1,0,1,119.0
10.1,1,1,0,110.0
21.9,1,0,1,118.0
22.2,0,1,0,74.0
19.0,0,1,0,96.0
20.7,0,0,0,58.0
27.9,0,0,0,47.0
29.0,0,1,0,77.0
19.8,1,0,0,84.0
23.0,0,1,1,110.0
32.9,1,1,0,100.0
8.6,1,1,1,143.0
8.5,1,0,0,97.0
7.6,0,1,0,102.0
24.7,1,0,0,77.0
17.6,0,1,0,86.0
28.2,0,1,1,111.0
25.1,0,0,0,62.0
15.0,0,0,0,83.0
32.0,0,0,0,59.0
27.9,0,1,0,88.0
13.1,1,0,0,113.0
15.9,0,0,0,70.0
14.4,0,1,1,126.0
9.7,1,1,0,122.0
9.4,1,1,1,138.0
33.1,1,1,0,92.0
18.1,0,1,0,85.0
16.5,1,1,1,145.0
26.9,1,0,0,74.0
21.6,0,1,0,87.0
33.1,0,1,1,114.0
28.4,1,1,1,136.0
19.4,0,1,1,116.0
16.3,0,1,1,115.0
34.6,1,0,0,78.0
26.5,1,1,0,107.0
33.5,1,1,1,112.0
8.6,1,0,0,90.0
30.5,1,1,1,129.0
24.1,0,0,0,65.0
8.7,0,1,0,104.0
22.6,1,1,0,107.0
25.6,0,0,1,92.0
5.4,0,0,0,76.0
18.6,1,1,0,103.0
29.8,1,0,1,101.0
13.9,0,1,1,123.0
18.8,0,0,1,93.0
18.3,1,1,0,93.0
14.1,0,1,0,89.0
32.6,1,1,0,96.0
28.4,1,0,0,72.0
8.3,1,1,0,116.0
34.9,0,0,0,52.0
31.4,1,0,1,93.0
13.5,0,0,0,55.0
30.1,1,1,1,125.0
8.2,0,1,0,104.0
35.0,0,0,0,62.0
25.0,1,0,0,84.0
24.5,0,1,0,71.0
7.7,1,0,0,91.0
31.9,1,0,0,73.0
5.9,0,1,0,101.0
12.2,0,0,1,103.0
9.3,1,1,1,139.0
28.3,0,1,0,80.0
10.9,0,0,1,104.0
32.3,0,0,0,58.0
24.7,0,1,1,106.0
6.1,1,1,1,147.0
5.2,0,1,0,79.0
6.5,1,0,1,119.0
23.2,0,1,0,80.0
29.0,1,1,0,91.0
12.2,0,0,1,100.0
30.5,0,1,0,77.0
6.7,1,1,0,101.0
29.0,0,0,0,56.0
32.8,0,0,0,43.0
28.2,1,1,0,104.0
25.9,0,0,0,46.0
30.1,0,0,0,53.0
6.2,0,0,0,72.0
11.1,1,1,0,117.0
8.7,1,0,0,93.0
20.1,1,1,0,105.0
27.4,1,1,0,88.0
23.9,0,1,0,72.0
30.5,0,1,0,73.0
9.7,0,0,1,101.0
27.0,0,0,1,81.0
10.8,0,0,0,75.0
13.1,1,1,0,111.0
26.3,1,1,0,94.0
34.4,1,0,1,97.0
23.3,1,1,0,106.0
6.6,1,1,0,122.0
23.5,0,0,0,74.0
6.3,1,0,0,89.0
31.5,1,0,0,71.0
26.3,0,0,0,60.0
10.2,0,0,0,71.0
7.8,1,1,0,114.0
10.5,0,1,0,83.0
34.4,1,1,0,90.0
18.8,1,0,1,104.0
28.5,0,1,1,96.0
24.1,0,0,0,52.0
22.2,0,0,0,52.0
9.4,0,1,0,101.0
33.4,0,1,1,110.0
14.0,1,0,0,80.0
22.3,0,0,1,88.0
26.0,0,1,0,67.0
24.5,0,1,0,79.0
33.2,1,0,0,73.0
9.5,0,1,0,103.0
20.3,0,1,0,81.0
17.1,1,0,0,93.0
19.2,0,1,0,76.0
8.6,0,1,0,87.0
9.0,0,1,0,103.0
13.3,0,0,0,81.0
14.1,0,0,1,101.0
17.8,1,1,1,139.0
23.3,0,1,1,96.0
24.0,0,0,0,42.0
17.4,0,1,0,90.0
17.3,1,1,0,107.0
11.5,1,0,1,111.0
22.6,0,1,1,115.0
14.5,0,0,0,68.0
6.1,0,0,0,82.0
17.6,0,0,0,65.0
19.2,0,0,0,73.0
11.8,0,1,0,94.0
22.2,1,0,1,109.0
22.0,0,1,0,94.0
26.1,0,0,0,49.0
24.4,0,1,0,106.0
24.6,1,0,1,111.0
14.5,1,1,0,115.0
28.6,0,1,0,83.0
21.5,0,1,0,101.0
17.9,1,0,0,90.0
23.8,1,0,1,96.0
15.8,0,0,0,77.0
20.4,1,0,0,79.0
27.1,1,0,1,106.0
31.6,0,1,0,66.0
32.6,1,0,0,75.0
20.1,0,0,0,57.0
20.6,0,0,1,92.0
29.0,0,1,1,107.0
14.4,0,1,0,107.0
30.1,1,1,0,114.0
19.8,0,0,0,63.0
8.5,0,0,0,73.0
7.2,0,1,0,96.0
30.3,1,1,0,107.0
6.7,1,0,1,121.0
13.4,1,0,1,115.0
15.0,0,0,1,104.0
10.2,1,1,0,112.0
14.4,1,0,1,117.0
27.3,1,1,1,118.0
5.4,0,1,0,106.0
29.8,1,1,1,144.0
30.7,0,1,1,113.0
16.2,0,0,0,77.0
9.6,0,1,0,90.0
23.0,0,0,0,61.0
8.6,0,0,0,65.0
15.9,0,0,1,94.0
33.8,0,0,0,56.0
34.9,1,0,0,69.0
28.2,0,0,0,43.0
14.3,1,0,0,77.0
25.6,1,0,0,66.0
26.2,1,0,0,80.0
16.6,1,0,0,102.0
24.2,0,1,1,124.0
5.3,1,0,0,80.0
11.3,1,0,0,101.0
20.8,0,0,0,69.0
9.9,0,0,0,59.0
10.0,1,1,1,144.0
30.1,0,1,0,87.0
34.7,0,1,0,78.0
21.7,1,1,0,95.0
30.2,1,0,0,78.0
34.7,0,1,1,87.0
9.2,1,0,0,90.0
18.4,0,1,0,98.0
16.8,1,0,0,85.0
7.4,1,1,1,144.0
27.7,0,0,0,62.0
18.0,0,1,1,127.0
19.1,1,0,0,93.0
9.5,0,1,0,103.0
10.4,0,1,0,104.0
32.2,0,1,0,82.0
6.3,1,0,1,126.0
12.0,0,0,0,70.0
13.8,1,1,1,141.0
19.7,1,0,1,103.0
22.6,0,0,0,52.0
19.8,1,0,1,110.0
7.5,1,0,0,95.0
12.3,0,0,0,80.0
30.3,1,0,0,72.0
24.1,0,1,0,91.0
24.5,0,1,0,92.0
25.1,0,0,0,56.0
27.9,1,0,1,110.0
6.7,1,0,1,122.0
16.0,0,1,0,101.0
21.2,1,0,0,86.0
15.2,1,1,1,132.0
30.3,1,1,0,99.0
19.5,1,1,0,121.0
28.1,0,0,0,53.0
30.6,1,1,0,101.0
20.1,0,1,0,91.0
32.3,0,1,0,68.0
22.6,0,1,0,89.0
30.5,1,1,1,116.0
15.2,1,0,0,81.0
20.0,0,1,1,126.0
20.9,0,1,0,89.0
8.1,0,0,1,100.0
17.0,1,0,1,118.0
32.5,0,1,1,105.0
23.9,1,0,0,79.0
10.3,0,0,0,76.0
15.2,0,1,1,116.0
10.7,1,1,0,116.0
5.7,0,1,0,97.0
32.8,0,0,0,38.0
18.4,0,0,0,56.0
14.2,1,1,0,125.0
23.0,0,1,1,117.0
5.2,0,0,1,95.0
13.3,0,0,0,56.0
26.1,1,0,1,106.0
24.0,1,1,0,116.0
34.5,1,0,0,67.0
23.6,0,1,0,94.0
19.3,1,0,0,85.0
27.8,0,1,0,84.0
32.1,1,0,0,60.0
26.6,1,1,0,109.0
33.9,1,1,1,122.0
28.5,1,0,1,111.0
31.0,1,0,0,66.0
8.4,0,1,1,129.0
27.0,1,1,0,104.0
18.2,1,1,0,107.0
21.6,1,1,0,109.0
24.6,1,1,0,101.0
34.1,0,1,0,69.0
34.5,1,0,0,82.0
13.6,0,1,1,131.0
27.0,1,0,0,70.0
27.5,1,0,1,110.0
15.4,0,0,0,60.0
8.7,1,0,0,83.0
6.2,1,0,0,103.0
28.3,1,1,0,86.0
19.7,0,0,0,70.0
34.6,0,0,1,77.0
18.9,1,0,0,81.0
34.3,1,1,0,97.0
17.3,1,1,0,114.0
28.8,1,1,0,92.0
7.5,0,0,0,79.0
21.7,1,1,1,136.0
29.1,0,1,1,99.0
32.7,1,0,1,99.0
29.7,1,1,0,109.0
6.1,1,0,0,108.0
16.2,1,1,0,116.0
6.5,0,1,0,90.0
8.3,0,0,0,76.0
25.3,0,1,0,89.0
26.4,1,0,1,112.0
28.2,0,0,0,61.0
31.0,1,1,1,130.0
27.2,0,1,0,80.0
29.0,0,1,0,74.0
6.5,0,1,0,84.0
12.0,0,0,0,72.0
23.7,0,1,1,115.0
30.7,0,1,0,82.0
5.1,1,1,0,110.0
20.4,1,1,0,112.0
25.3,1,1,0,119.0
5.9,0,1,0,100.0
17.0,1,0,0,84.0
31.9,1,0,0,74.0
25.1,1,0,0,94.0
12.1,0,1,0,86.0
30.6,1,1,0,99.0
15.4,1,0,0,80.0
30.6,0,1,0,73.0
14.0,0,1,0,92.0
22.7,1,0,1,120.0
16.9,0,0,1,109.0
13.2,0,1,0,97.0
31.6,1,0,0,69.0
10.6,0,1,0,115.0
7.5,0,1,1,125.0
15.3,0,1,0,87.0
26.5,1,0,0,62.0
29.2,0,1,0,90.0
35.0,1,0,1,106.0
13.9,0,0,0,87.0
17.2,1,0,0,73.0
9.1,1,0,0,103.0
22.2,1,0,0,81.0
34.9,1,1,0,100.0
26.0,0,0,0,43.0
22.9,1,1,0,116.0
16.8,1,0,0,91.0
32.5,1,0,0,70.0
19.9,1,1,0,112.0
9.0,1,1,0,111.0
16.0,0,1,0,86.0
7.0,0,1,0,95.0
11.1,0,0,0,55.0
5.5,0,0,1,112.0
18.6,1,1,0,118.0
24.0,1,1,1,128.0
15.3,0,0,0,69.0
17.6,0,0,1,92.0
33.8,1,1,0,97.0
27.6,1,1,1,125.0
21.2,1,0,0,74.0
13.5,1,0,0,96.0
31.9,1,1,0,96.0
12.1,1,0,0,105.0
14.8,0,0,0,67.0
32.3,1,0,0,64.0
20.9,0,1,1,126.0
27.3,0,0,0,60.0
22.7,0,0,1,95.0
24.6,0,0,0,67.0
14.0,0,1,0,87.0
12.2,1,0,0,88.0
14.7,1,0,0,85.0
9.7,0,0,0,61.0
31.2,1,1,0,95.0
13.5,0,1,0,104.0
21.8,0,1,0,87.0
28.8,1,0,0,63.0
28.5,0,1,1,97.0
18.2,1,0,1,127.0
19.3,1,1,0,107.0
34.8,0,0,0,44.0
25.2,0,1,1,110.0
29.4,1,1,1,117.0
32.1,1,0,1,112.0
28.6,1,1,0,96.0
10.6,0,0,1,111.0
21.9,0,0,0,61.0
8.1,1,0,0,104.0
24.6,1,1,1,135.0
33.7,0,0,0,56.0
20.4,1,1,0,112.0
18.0,1,1,0,114.0
6.1,0,1,0,102.0
33.8,0,1,0,73.0
8.1,1,0,1,138.0
6.2,1,1,0,112.0
12.4,0,0,0,69.0
7.0,0,1,1,129.0
18.7,1,0,0,86.0
20.5,0,1,0,83.0
14.4,1,1,1,145.0
6.5,1,1,1,148.0
8.3,1,0,0,80.0
16.5,0,1,0,90.0
6.8,0,0,1,95.0
25.9,0,0,0,43.0
11.2,1,0,1,121.0
14.1,0,1,0,96.0
16.8,0,1,0,94.0
17.5,0,1,0,94.0
5.0,0,0,1,90.0
8.4,0,0,0,62.0
30.9,1,1,1,143.0
5.0,1,0,0,87.0
20.2,0,0,0,67.0
19.7,0,1,0,82.0
15.0,0,0,1,97.0
17.9,1,1,1,134.0
28.4,0,1,0,84.0
30.2,1,1,1,129.0
12.8,0,1,1,120.0
14.7,0,1,0,83.0
12.3,1,1,0,116.0
19.4,1,0,1,103.0
25.5,1,0,0,80.0
11.8,1,0,0,110.0
14.9,1,1,0,122.0
32.9,1,1,0,101.0
6.5,0,0,0,73.0
18.8,0,1,0,73.0
26.3,0,0,0,46.0
9.5,0,1,0,107.0
6.4,0,1,1,123.0
9.1,0,1,0,91.0
32.6,0,0,1,79.0
5.3,1,0,0,87.0
10.6,0,1,0,86.0
5.9,1,1,0,119.0
8.3,0,1,0,90.0
23.6,1,0,0,73.0
12.2,1,0,1,113.0
22.1,0,0,0,64.0
22.7,0,1,0,83.0
30.5,1,0,1,101.0
5.1,1,0,0,100.0
30.6,0,0,0,51.0
23.6,1,1,0,102.0
9.9,1,1,0,120.0
28.2,0,1,1,115.0
30.7,0,0,1,81.0
12.6,0,0,1,99.0
32.6,1,0,1,94.0
18.6,1,0,0,76.0
23.1,1,1,0,110.0
34.5,1,1,1,128.0
15.8,0,1,0,94.0
29.4,0,0,0,56.0
14.6,0,0,0,67.0
29.0,0,1,0,84.0
23.0,1,0,0,87.0
11.5,1,0,0,97.0
17.4,0,0,1,94.0
14.5,1,0,0,98.0
7.3,1,1,0,120.0
5.9,0,1,0,105.0
15.4,1,0,0,88.0
5.6,1,1,0,122.0
10.0,1,0,0,85.0
26.8,1,0,0,81.0
26.2,0,0,0,79.0
27.2,1,1,0,98.0
14.5,0,1,0,93.0
31.7,1,1,1,123.0
22.8,0,0,0,56.0
8.8,0,0,1,114.0
9.3,1,1,1,141.0
25.8,0,0,0,53.0
10.2,0,0,0,58.0
20.2,1,1,1,131.0
34.8,0,1,1,90.0
5.1,1,0,1,130.0
5.5,0,0,0,97.0
34.8,0,1,0,71.0
22.5,1,0,1,96.0
8.8,0,0,1,109.0
31.9,0,0,0,45.0
31.4,1,0,1,112.0
21.1,1,1,0,104.0
23.7,0,1,0,79.0
13.2,1,1,0,112.0
6.5,1,0,1,130.0
22.8,1,0,0,78.0
13.8,0,1,1,119.0
24.9,1,0,0,76.0
30.1,1,1,0,88.0
5.5,1,1,0,123.0
22.9,0,0,0,45.0
11.9,1,1,1,141.0
31.2,1,1,0,103.0
12.6,0,0,0,71.0
23.3,1,1,1,139.0
21.6,1,0,0,80.0
16.9,0,1,0,99.0
25.3,1,1,0,110.0
26.8,0,0,0,59.0
22.0,1,1,0,113.0
27.8,1,0,0,81.0
34.5,1,1,1,120.0
17.6,0,1,0,78.0
20.4,1,1,1,140.0
5.4,0,1,0,105.0
28.9,1,0,0,83.0
20.6,1,1,0,99.0
17.2,0,0,1,87.0
7.8,0,1,1,132.0
31.7,0,0,0,51.0
16.9,1,1,1,125.0
25.5,0,0,1,90.0
9.5,0,1,0,82.0
33.8,0,0,0,42.0
10.4,0,1,0,106.0
11.0,0,0,0,85.0
30.8,0,0,0,43.0
32.4,0,0,0,48.0
11.4,1,0,0,90.0
19.1,0,1,0,102.0
27.0,1,0,0,72.0
31.4,1,0,0,68.0
16.4,1,0,0,98.0
20.5,0,0,0,59.0
27.3,0,1,0,86.0
26.9,1,1,0,89.0
28.5,1,0,0,73.0
22.1,1,1,1,122.0
8.1,0,1,0,89.0
32.1,0,1,1,113.0
31.0,0,1,0,77.0
28.9,0,1,0,76.0
8.0,1,0,0,87.0
11.1,0,1,1,123.0
27.3,0,0,0,58.0
5.7,1,0,0,103.0
34.4,1,1,1,103.0
16.3,0,0,1,89.0
26.6,0,1,1,112.0
31.6,1,1,1,126.0
16.8,1,1,1,143.0
14.6,1,0,0,89.0
23.3,1,0,0,77.0
22.4,1,0,1,106.0
17.3,0,1,1,117.0
23.1,0,0,1,98.0
33.1,1,1,0,89.0
19.0,0,0,0,62.0
10.9,0,0,0,72.0
16.3,0,0,1,108.0
16.8,1,0,1,112.0
8.9,0,0,0,80.0
9.9,0,0,1,111.0
25.5,0,1,1,112.0
15.2,0,1,1,120.0
33.6,1,1,0,92.0
12.3,0,0,0,67.0
8.0,1,0,0,100.0
27.6,0,1,0,82.0
31.4,1,1,1,129.0
13.3,1,1,0,104.0
11.1,1,0,1,112.0
10.6,1,0,0,108.0
20.7,0,1,0,85.0
19.1,1,1,0,102.0
12.8,1,1,0,125.0
6.4,1,1,1,151.0
19.4,1,0,0,87.0
33.8,1,1,0,93.0
24.6,1,1,0,100.0
19.9,1,1,0,106.0
8.3,1,1,1,136.0
12.6,0,0,0,68.0
13.8,0,1,0,95.0
27.9,0,0,0,70.0
31.3,0,1,1,108.0
32.0,0,0,0,33.0
34.5,0,1,0,73.0
34.5,0,1,0,96.0
33.6,0,0,1,87.0
7.2,1,0,1,117.0
9.1,1,1,0,122.0
14.1,1,0,1,111.0
21.6,0,1,0,75.0
7.9,0,1,0,95.0
30.4,1,1,1,128.0
23.5,0,0,1,74.0
21.3,1,0,0,72.0
10.0,0,1,1,126.0
12.6,0,1,0,90.0
9.8,1,1,0,119.0
30.6,0,0,0,43.0
22.5,0,1,0,90.0
27.1,1,1,0,91.0
13.9,0,1,0,106.0
16.1,1,0,1,102.0
17.1,0,1,0,81.0
27.8,0,1,0,83.0
28.2,1,0,0,88.0
11.2,0,1,0,97.0
33.2,1,1,0,100.0
8.6,1,0,1,122.0
31.9,1,1,1,118.0
8.0,0,1,1,124.0
12.9,1,1,0,104.0
30.4,1,0,1,92.0
10.4,1,1,0,119.0
17.4,0,1,1,110.0
18.5,1,0,1,116.0
12.4,0,1,0,83.0
26.3,1,0,0,79.0
30.5,0,0,0,49.0
31.2,1,1,0,108.0
15.2,1,0,0,89.0
20.9,0,0,1,101.0
12.5,1,0,0,83.0
12.3,1,1,1,144.0
9.8,0,0,0,63.0
33.2,0,1,0,72.0
31.6,1,1,0,94.0
28.3,0,1,1,104.0
20.5,0,1,1,107.0
19.7,1,0,1,101.0
20.9,0,0,0,42.0
21.1,1,1,0,98.0
18.0,0,1,0,94.0
9.0,1,1,1,134.0
8.8,0,0,0,61.0
33.6,1,0,1,114.0
19.5,1,1,0,102.0
33.6,0,1,0,77.0
9.9,0,0,1,106.0
21.6,1,1,0,111.0
11.2,1,1,1,133.0
12.6,1,0,0,87.0
5.9,0,1,0,87.0
8.6,1,0,1,142.0
32.5,1,0,0,58.0
14.6,0,0,0,58.0
23.2,0,1,0,76.0
19.0,0,1,0,76.0
17.0,1,1,0,121.0
21.0,0,1,0,105.0
10.6,0,0,0,67.0
34.7,1,0,0,58.0
29.5,0,0,1,66.0
27.2,1,1,1,129.0
19.1,1,1,0,105.0
9.6,1,1,1,141.0
32.6,1,0,1,102.0
15.2,1,0,1,119.0
6.5,1,0,0,97.0
15.3,1,0,1,114.0
28.8,0,0,0,45.0
23.7,0,1,0,89.0
27.5,1,1,0,100.0
28.8,0,0,0,61.0
11.4,1,0,0,96.0
32.7,1,1,0,84.0
18.1,1,0,0,72.0
